distance,radius
5,50.6252054524546
5.1,48.5186222806131
5.2,48.3688208688473
5.3,47.5085013042693
5.4,46.5469244584592
5.5,44.5492586644994
5.6,43.9024740619282
5.7,43.2523375172537
5.8,42.4320785563769
5.9,41.5293282269269
6,41.0052082166438
6.1,40.2240151723735
6.2,39.3341510110802
6.3,39.3766730039386
6.4,38.0507438111646
6.5,37.6135719581039
6.6,37.1624124224824
6.7,36.5723344854828
6.8,35.8983565710989
6.9,35.3182588859052
7,34.8140871556914
7.1,34.2235928338046
7.2,33.7751624293206
7.3,33.3021066193838
7.4,32.8417864701173
7.5,32.3751900628147
7.6,31.9968877818315
7.7,31.7452644883657
7.8,31.0750808764003
7.9,30.8093801738735
8,30.3277367237061
8.1,29.9752018337957
8.2,29.5440813876337
8.3,29.376644917003
8.4,28.8404908628331
8.5,28.5703058593133
8.6,28.2384879989324
8.7,27.7595884773641
8.8,27.6486064845402
8.9,27.0293486469631
9,27.0649037864427
9.1,26.3642929911655
9.2,26.2625182582143
9.3,25.9588032776527
9.4,25.7127398929233
9.5,25.5747943745178
9.6,25.1855061906945
9.7,24.8904624112529
9.8,24.6890229639713
9.9,24.3021908808656
10,24.2877362352024
10.1,23.9386941387333
10.2,23.6335602985936
10.3,23.5013105692461
10.4,22.9764824627052
10.5,23.1185225553715
10.6,22.7992858870054
10.7,22.4894721367976
10.8,22.2067756832521
10.9,22.084591590623
11,21.7991633806022
11.1,21.5770008854246
11.2,21.3175114060801
11.3,21.458882728489
11.4,21.0619433813248
11.5,20.9569989349557
11.6,20.6966869293621
11.7,20.5656332360866
11.8,20.2141134837066
11.9,19.9515649921523
12,20.2445767636366
12.1,19.908580745536
12.2,19.7279460870898
12.3,19.4513656779094
12.4,19.2522245055758
12.5,19.0706330737005
12.6,19.3428576190142
12.7,19.0358049333757
12.8,18.9283212442484
12.9,18.7146591507088
13,18.3166791522723
13.1,18.2521105248424
13.2,18.1299775486561
13.3,17.915582315158
13.4,17.7580968665433
13.5,17.7869243311513
13.6,17.7503376264201
13.7,17.5233756709975
13.8,17.5644630186047
13.9,17.2644719685274
14,17.1815464922587
14.1,16.8873798106412
14.2,16.7723953495458
14.3,16.6903402329929
14.4,16.4532760183945
14.5,16.3580172270987
14.6,16.3335376701888
14.7,16.2089632379025
14.8,16.0259779726757
14.9,15.9539830399586
15,15.9411959597252
15.1,16.0431359823412
15.2,15.7855790692897
15.3,15.9908276547957
15.4,15.7653785092474
15.5,15.7117755869979
15.6,15.6017542191531
15.7,15.249246835853
15.8,15.1639284575193
15.9,15.1792736191805
16,15.0009557529683
16.1,14.7791857351137
16.2,14.8121323122998
16.3,14.4931444590254
16.4,14.663653717941
16.5,14.4865556995236
16.6,14.2799849190599
16.7,14.3798182445663
16.8,14.0857287828273
16.9,13.8771523050566
17,13.8446730817272
17.1,14.2446989709729
17.2,13.8219761706097
17.3,13.8798528291525
17.4,13.9362435600392
17.5,13.7764802799642
17.6,13.5926703120785
17.7,13.6307326262017
17.8,13.4872573223596
17.9,13.3373472798354
18,13.3432167911143
18.1,13.056395867669
18.2,13.0323995028896
18.3,12.9262228194864
18.4,12.9428158170371
18.5,12.8018007911146
18.6,12.8240918534819
18.7,12.6947880286223
18.8,12.5817656214874
18.9,12.7527456986997
19,12.5571565937488
19.1,12.4480264860826
19.2,12.6114833068521
19.3,12.3957342923592
19.4,12.3546003062097
19.5,12.1740282677439
19.6,12.2696319263416
19.7,12.0782629039687
19.8,12.0438502106416
19.9,11.9775663201868
20,11.8430794253194
